Points:0,Points:1,Points:2, Co2.Mass Fraction,
-9.38E-01,5.17E+00,9.78E-01,2.58E-04,8.65E-05
-9.22E-01,5.16E+00,9.93E-01,2.30E-04,
-9.22E-01,5.19E+00,9.93E-01,2.52E-04,
-9.46E-01,5.19E+00,9.69E-01,2.75E-04,
-9.93E-01,5.19E+00,9.22E-01,2.91E-04,
-9.78E-01,5.17E+00,9.38E-01,2.84E-04,
-9.69E-01,5.19E+00,9.46E-01,2.87E-04,
-9.93E-01,5.16E+00,9.22E-01,2.80E-04,
-9.93E-01,4.62E+00,9.22E-01,1.14E-04,
-9.93E-01,4.59E+00,9.22E-01,1.14E-04,
-9.75E-01,4.62E+00,9.40E-01,1.16E-04,
-9.69E-01,4.59E+00,9.46E-01,1.16E-04,
-9.22E-01,4.62E+00,9.93E-01,1.24E-04,
-9.40E-01,4.62E+00,9.75E-01,1.21E-04,
-9.22E-01,4.59E+00,9.93E-01,1.21E-04,
-9.46E-01,4.59E+00,9.69E-01,1.18E-04,
-9.75E-01,5.15E+00,9.40E-01,2.71E-04,
-9.93E-01,5.13E+00,9.22E-01,2.61E-04,
-9.40E-01,5.15E+00,9.75E-01,2.42E-04,
-9.22E-01,5.13E+00,9.93E-01,2.10E-04,
-9.40E-01,4.64E+00,9.75E-01,1.24E-04,
-9.22E-01,4.65E+00,9.93E-01,1.28E-04,
-9.75E-01,4.64E+00,9.40E-01,1.17E-04,
-9.93E-01,4.65E+00,9.22E-01,1.16E-04,
-9.75E-01,5.12E+00,9.40E-01,2.55E-04,
-9.93E-01,5.10E+00,9.22E-01,2.41E-04,
-9.40E-01,4.67E+00,9.75E-01,1.28E-04,
-9.22E-01,4.68E+00,9.93E-01,1.32E-04,
-9.40E-01,5.12E+00,9.75E-01,2.25E-04,
-9.22E-01,5.10E+00,9.93E-01,1.98E-04,
-9.75E-01,4.67E+00,9.40E-01,1.19E-04,
-9.93E-01,4.68E+00,9.22E-01,1.19E-04,
-9.58E-01,5.17E+00,9.58E-01,2.73E-04,
-9.75E-01,5.09E+00,9.40E-01,2.40E-04,
-9.93E-01,5.07E+00,9.22E-01,2.25E-04,
-9.40E-01,4.70E+00,9.75E-01,1.31E-04,
-9.22E-01,4.71E+00,9.93E-01,1.35E-04,
-9.40E-01,5.09E+00,9.75E-01,2.12E-04,
-9.22E-01,5.07E+00,9.93E-01,1.86E-04,
-9.75E-01,4.70E+00,9.40E-01,1.22E-04,
-9.93E-01,4.71E+00,9.22E-01,1.23E-04,
-9.75E-01,5.06E+00,9.40E-01,2.27E-04,
-9.93E-01,5.04E+00,9.22E-01,2.11E-04,
-9.58E-01,4.61E+00,9.58E-01,1.18E-04,
-9.40E-01,4.73E+00,9.75E-01,1.33E-04,
-9.22E-01,4.74E+00,9.93E-01,1.38E-04,
-9.40E-01,5.06E+00,9.75E-01,1.99E-04,
-9.22E-01,5.04E+00,9.93E-01,1.74E-04,
-9.75E-01,4.73E+00,9.40E-01,1.26E-04,
-9.93E-01,4.74E+00,9.22E-01,1.27E-04,
-9.75E-01,5.03E+00,9.40E-01,2.14E-04,
-9.93E-01,5.01E+00,9.22E-01,2.00E-04,
-9.40E-01,4.76E+00,9.75E-01,1.35E-04,
-9.22E-01,4.77E+00,9.93E-01,1.40E-04,
-9.40E-01,5.03E+00,9.75E-01,1.86E-04,
-9.22E-01,5.01E+00,9.93E-01,1.66E-04,
-9.75E-01,4.76E+00,9.40E-01,1.30E-04,
-9.93E-01,4.77E+00,9.22E-01,1.33E-04,
-9.40E-01,4.79E+00,9.75E-01,1.37E-04,
-9.22E-01,4.80E+00,9.93E-01,1.41E-04,
-9.40E-01,5.00E+00,9.75E-01,1.75E-04,
-9.22E-01,4.98E+00,9.93E-01,1.59E-04,
-9.75E-01,5.00E+00,9.40E-01,2.02E-04,
-9.93E-01,4.98E+00,9.22E-01,1.90E-04,
-9.75E-01,4.79E+00,9.40E-01,1.36E-04,
-9.93E-01,4.80E+00,9.22E-01,1.41E-04,
-9.40E-01,4.97E+00,9.75E-01,1.66E-04,
-9.22E-01,4.95E+00,9.93E-01,1.54E-04,
-9.40E-01,4.82E+00,9.75E-01,1.40E-04,
-9.22E-01,4.83E+00,9.93E-01,1.42E-04,
-9.75E-01,4.97E+00,9.40E-01,1.89E-04,
-9.93E-01,4.95E+00,9.22E-01,1.80E-04,
-9.75E-01,4.82E+00,9.40E-01,1.43E-04,
-9.93E-01,4.83E+00,9.22E-01,1.48E-04,
-9.41E-01,4.94E+00,9.75E-01,1.57E-04,
-9.22E-01,4.92E+00,9.93E-01,1.49E-04,
-9.39E-01,4.85E+00,9.76E-01,1.43E-04,
-9.22E-01,4.86E+00,9.93E-01,1.44E-04,
-9.76E-01,4.94E+00,9.39E-01,1.79E-04,
-9.93E-01,4.92E+00,9.22E-01,1.72E-04,
-9.75E-01,4.85E+00,9.40E-01,1.51E-04,
-9.93E-01,4.86E+00,9.22E-01,1.57E-04,
-9.39E-01,4.88E+00,9.76E-01,1.47E-04,
-9.22E-01,4.89E+00,9.93E-01,1.46E-04,
-9.40E-01,4.91E+00,9.76E-01,1.51E-04,
-9.73E-01,4.88E+00,9.42E-01,1.62E-04,
-9.93E-01,4.89E+00,9.22E-01,1.65E-04,
-9.79E-01,4.91E+00,9.37E-01,1.71E-04,
-9.58E-01,4.63E+00,9.58E-01,1.19E-04,
-9.58E-01,4.66E+00,9.58E-01,1.22E-04,
-9.58E-01,4.69E+00,9.58E-01,1.25E-04,
-9.58E-01,4.72E+00,9.58E-01,1.27E-04,
-9.58E-01,4.74E+00,9.58E-01,1.30E-04,
-9.58E-01,4.77E+00,9.58E-01,1.33E-04,
-9.57E-01,4.80E+00,9.58E-01,1.37E-04,
-9.57E-01,4.83E+00,9.58E-01,1.43E-04,
-9.56E-01,4.86E+00,9.59E-01,1.49E-04,
-9.58E-01,5.13E+00,9.58E-01,2.58E-04,
-9.58E-01,5.10E+00,9.58E-01,2.45E-04,
-9.58E-01,5.07E+00,9.58E-01,2.31E-04,
-9.58E-01,5.04E+00,9.58E-01,2.18E-04,
-9.58E-01,5.01E+00,9.58E-01,2.03E-04,
-9.58E-01,4.98E+00,9.57E-01,1.90E-04,
-9.58E-01,4.95E+00,9.57E-01,1.76E-04,
-9.60E-01,4.92E+00,9.55E-01,1.66E-04,
-9.54E-01,4.89E+00,9.61E-01,1.55E-04,
-9.69E-01,3.94E+00,9.46E-01,1.15E-04,
-9.93E-01,3.94E+00,9.22E-01,1.13E-04,
-9.78E-01,3.92E+00,9.38E-01,1.14E-04,
-9.93E-01,3.91E+00,9.22E-01,1.14E-04,
-9.22E-01,3.34E+00,9.93E-01,1.98E-04,
-9.22E-01,3.37E+00,9.93E-01,2.07E-04,
-9.40E-01,3.37E+00,9.75E-01,1.89E-04,
-9.46E-01,3.34E+00,9.69E-01,1.82E-04,
-9.93E-01,3.37E+00,9.22E-01,1.47E-04,
-9.93E-01,3.34E+00,9.22E-01,1.54E-04,
-9.75E-01,3.37E+00,9.40E-01,1.61E-04,
-9.69E-01,3.34E+00,9.46E-01,1.68E-04,
-9.22E-01,3.91E+00,9.93E-01,1.19E-04,
-9.22E-01,3.94E+00,9.93E-01,1.17E-04,
-9.38E-01,3.92E+00,9.78E-01,1.17E-04,
-9.46E-01,3.94E+00,9.69E-01,1.16E-04,
-9.75E-01,3.90E+00,9.40E-01,1.16E-04,
-9.93E-01,3.88E+00,9.22E-01,1.16E-04,
-9.40E-01,3.39E+00,9.75E-01,1.99E-04,
-9.22E-01,3.40E+00,9.93E-01,2.17E-04,
-9.40E-01,3.90E+00,9.75E-01,1.20E-04,
-9.22E-01,3.88E+00,9.93E-01,1.24E-04,
-9.75E-01,3.39E+00,9.40E-01,1.55E-04,
-9.93E-01,3.40E+00,9.22E-01,1.40E-04,
-9.75E-01,3.87E+00,9.40E-01,1.20E-04,
-9.93E-01,3.85E+00,9.22E-01,1.19E-04,
-9.40E-01,3.42E+00,9.75E-01,2.06E-04,
-9.22E-01,3.43E+00,9.93E-01,2.23E-04,
-9.40E-01,3.87E+00,9.75E-01,1.25E-04,
-9.22E-01,3.85E+00,9.93E-01,1.31E-04,
-9.75E-01,3.42E+00,9.40E-01,1.52E-04,
-9.93E-01,3.43E+00,9.22E-01,1.37E-04,
-9.58E-01,3.92E+00,9.58E-01,1.16E-04,
-9.75E-01,3.84E+00,9.40E-01,1.24E-04,
-9.93E-01,3.82E+00,9.22E-01,1.24E-04,
-9.40E-01,3.45E+00,9.75E-01,2.08E-04,
-9.22E-01,3.46E+00,9.93E-01,2.28E-04,
-9.40E-01,3.84E+00,9.75E-01,1.32E-04,
-9.22E-01,3.82E+00,9.93E-01,1.40E-04,
-9.75E-01,3.45E+00,9.40E-01,1.52E-04,
-9.93E-01,3.46E+00,9.22E-01,1.36E-04,
-9.75E-01,3.81E+00,9.40E-01,1.29E-04,
-9.93E-01,3.79E+00,9.22E-01,1.28E-04,
-9.58E-01,3.36E+00,9.58E-01,1.74E-04,
-9.40E-01,3.48E+00,9.75E-01,2.11E-04,
-9.22E-01,3.49E+00,9.93E-01,2.32E-04,
-9.40E-01,3.81E+00,9.75E-01,1.41E-04,
-9.22E-01,3.79E+00,9.93E-01,1.50E-04,
-9.75E-01,3.48E+00,9.40E-01,1.53E-04,
-9.93E-01,3.49E+00,9.22E-01,1.36E-04,
-9.75E-01,3.78E+00,9.40E-01,1.34E-04,
-9.93E-01,3.76E+00,9.22E-01,1.31E-04,
-9.40E-01,3.51E+00,9.75E-01,2.12E-04,
-9.22E-01,3.52E+00,9.93E-01,2.31E-04,
-9.40E-01,3.78E+00,9.75E-01,1.50E-04,
-9.22E-01,3.76E+00,9.93E-01,1.61E-04,
-9.75E-01,3.51E+00,9.40E-01,1.53E-04,
-9.93E-01,3.52E+00,9.22E-01,1.37E-04,
-9.40E-01,3.54E+00,9.75E-01,2.11E-04,
-9.22E-01,3.55E+00,9.93E-01,2.29E-04,
-9.40E-01,3.75E+00,9.75E-01,1.59E-04,
-9.22E-01,3.73E+00,9.93E-01,1.72E-04,
-9.75E-01,3.75E+00,9.40E-01,1.38E-04,
-9.93E-01,3.73E+00,9.22E-01,1.34E-04,
-9.75E-01,3.54E+00,9.40E-01,1.53E-04,
-9.93E-01,3.55E+00,9.22E-01,1.39E-04,
-9.40E-01,3.72E+00,9.75E-01,1.68E-04,
-9.22E-01,3.70E+00,9.93E-01,1.84E-04,
-9.40E-01,3.57E+00,9.75E-01,2.07E-04,
-9.22E-01,3.58E+00,9.93E-01,2.24E-04,
-9.75E-01,3.72E+00,9.40E-01,1.41E-04,
-9.93E-01,3.70E+00,9.22E-01,1.35E-04,
-9.75E-01,3.57E+00,9.40E-01,1.52E-04,
-9.93E-01,3.58E+00,9.22E-01,1.39E-04,
-9.40E-01,3.69E+00,9.75E-01,1.76E-04,
-9.22E-01,3.67E+00,9.93E-01,1.95E-04,
-9.40E-01,3.60E+00,9.75E-01,2.02E-04,
-9.22E-01,3.61E+00,9.93E-01,2.16E-04,
-9.75E-01,3.69E+00,9.40E-01,1.44E-04,
-9.93E-01,3.67E+00,9.22E-01,1.36E-04,
-9.75E-01,3.60E+00,9.40E-01,1.51E-04,
-9.93E-01,3.61E+00,9.22E-01,1.37E-04,
-9.40E-01,3.66E+00,9.75E-01,1.86E-04,
-9.22E-01,3.64E+00,9.93E-01,2.07E-04,
-9.40E-01,3.63E+00,9.75E-01,1.95E-04,
-9.75E-01,3.63E+00,9.40E-01,1.49E-04,
-9.93E-01,3.64E+00,9.22E-01,1.37E-04,
-9.75E-01,3.66E+00,9.40E-01,1.46E-04,
-9.58E-01,3.38E+00,9.58E-01,1.75E-04,
-9.58E-01,3.41E+00,9.58E-01,1.78E-04,
-9.58E-01,3.44E+00,9.58E-01,1.78E-04,
-9.58E-01,3.47E+00,9.58E-01,1.80E-04,
-9.58E-01,3.49E+00,9.58E-01,1.81E-04,
-9.58E-01,3.52E+00,9.58E-01,1.81E-04,
-9.58E-01,3.55E+00,9.58E-01,1.80E-04,
-9.58E-01,3.58E+00,9.58E-01,1.76E-04,
-9.58E-01,3.61E+00,9.58E-01,1.73E-04,
-9.58E-01,3.88E+00,9.58E-01,1.20E-04,
-9.58E-01,3.85E+00,9.58E-01,1.26E-04,
-9.58E-01,3.82E+00,9.58E-01,1.32E-04,
-9.58E-01,3.79E+00,9.58E-01,1.38E-04,
-9.58E-01,3.76E+00,9.58E-01,1.43E-04,
-9.58E-01,3.73E+00,9.58E-01,1.49E-04,
-9.58E-01,3.70E+00,9.58E-01,1.55E-04,
-9.58E-01,3.67E+00,9.58E-01,1.62E-04,
-9.58E-01,3.64E+00,9.58E-01,1.67E-04,
-9.93E-01,3.34E+00,-9.22E-01,8.91E-05,
-9.93E-01,3.37E+00,-9.22E-01,9.13E-05,
-9.75E-01,3.37E+00,-9.40E-01,9.25E-05,
-9.69E-01,3.34E+00,-9.46E-01,8.99E-05,
-9.38E-01,3.92E+00,-9.78E-01,7.55E-05,
-9.46E-01,3.94E+00,-9.69E-01,7.37E-05,
-9.22E-01,3.94E+00,-9.93E-01,7.35E-05,
-9.22E-01,3.91E+00,-9.93E-01,7.68E-05,
-9.22E-01,3.34E+00,-9.93E-01,9.20E-05,
-9.40E-01,3.37E+00,-9.75E-01,9.46E-05,
-9.22E-01,3.37E+00,-9.93E-01,9.72E-05,
-9.46E-01,3.34E+00,-9.69E-01,9.12E-05,
-9.93E-01,3.91E+00,-9.22E-01,7.70E-05,
-9.93E-01,3.94E+00,-9.22E-01,7.38E-05,
-9.78E-01,3.92E+00,-9.38E-01,7.53E-05,
-9.69E-01,3.94E+00,-9.46E-01,7.36E-05,
-9.40E-01,3.90E+00,-9.75E-01,7.97E-05,
-9.22E-01,3.88E+00,-9.93E-01,8.13E-05,
-9.75E-01,3.90E+00,-9.40E-01,7.96E-05,
-9.93E-01,3.88E+00,-9.22E-01,8.19E-05,
-9.40E-01,3.39E+00,-9.75E-01,1.01E-04,
-9.22E-01,3.40E+00,-9.93E-01,1.05E-04,
-9.75E-01,3.39E+00,-9.40E-01,9.70E-05,
-9.93E-01,3.40E+00,-9.22E-01,9.45E-05,
-9.40E-01,3.87E+00,-9.75E-01,8.48E-05,
-9.22E-01,3.85E+00,-9.93E-01,8.60E-05,
-9.75E-01,3.87E+00,-9.40E-01,8.57E-05,
-9.93E-01,3.85E+00,-9.22E-01,8.79E-05,
-9.40E-01,3.42E+00,-9.75E-01,1.09E-04,
-9.22E-01,3.43E+00,-9.93E-01,1.12E-04,
-9.75E-01,3.42E+00,-9.40E-01,1.02E-04,
-9.93E-01,3.43E+00,-9.22E-01,9.84E-05,
-9.58E-01,3.92E+00,-9.58E-01,7.72E-05,
-9.40E-01,3.84E+00,-9.75E-01,8.98E-05,
-9.22E-01,3.82E+00,-9.93E-01,9.03E-05,
-9.75E-01,3.84E+00,-9.40E-01,9.19E-05,
-9.93E-01,3.82E+00,-9.22E-01,9.51E-05,
-9.40E-01,3.45E+00,-9.75E-01,1.14E-04,
-9.22E-01,3.46E+00,-9.93E-01,1.17E-04,
-9.75E-01,3.45E+00,-9.40E-01,1.06E-04,
-9.93E-01,3.46E+00,-9.22E-01,1.02E-04,
-9.40E-01,3.81E+00,-9.75E-01,9.39E-05,
-9.22E-01,3.79E+00,-9.93E-01,9.43E-05,
-9.58E-01,3.36E+00,-9.58E-01,9.27E-05,
-9.75E-01,3.81E+00,-9.40E-01,9.79E-05,
-9.93E-01,3.79E+00,-9.22E-01,1.02E-04,
-9.40E-01,3.48E+00,-9.75E-01,1.18E-04,
-9.22E-01,3.49E+00,-9.93E-01,1.20E-04,
-9.75E-01,3.48E+00,-9.40E-01,1.09E-04,
-9.93E-01,3.49E+00,-9.22E-01,1.06E-04,
-9.40E-01,3.78E+00,-9.75E-01,9.78E-05,
-9.22E-01,3.76E+00,-9.93E-01,9.85E-05,
-9.75E-01,3.78E+00,-9.40E-01,1.03E-04,
-9.93E-01,3.76E+00,-9.22E-01,1.06E-04,
-9.40E-01,3.51E+00,-9.75E-01,1.20E-04,
-9.22E-01,3.52E+00,-9.93E-01,1.21E-04,
-9.75E-01,3.51E+00,-9.40E-01,1.12E-04,
-9.93E-01,3.52E+00,-9.22E-01,1.09E-04,
-9.40E-01,3.75E+00,-9.75E-01,1.02E-04,
-9.22E-01,3.73E+00,-9.93E-01,1.02E-04,
-9.75E-01,3.75E+00,-9.40E-01,1.07E-04,
-9.93E-01,3.73E+00,-9.22E-01,1.10E-04,
-9.40E-01,3.54E+00,-9.75E-01,1.20E-04,
-9.22E-01,3.55E+00,-9.93E-01,1.20E-04,
-9.75E-01,3.54E+00,-9.40E-01,1.14E-04,
-9.93E-01,3.55E+00,-9.22E-01,1.12E-04,
-9.40E-01,3.72E+00,-9.75E-01,1.05E-04,
-9.22E-01,3.70E+00,-9.93E-01,1.06E-04,
-9.40E-01,3.57E+00,-9.76E-01,1.19E-04,
-9.22E-01,3.58E+00,-9.93E-01,1.18E-04,
-9.75E-01,3.57E+00,-9.40E-01,1.15E-04,
-9.93E-01,3.58E+00,-9.22E-01,1.15E-04,
-9.75E-01,3.72E+00,-9.40E-01,1.10E-04,
-9.93E-01,3.70E+00,-9.22E-01,1.13E-04,
-9.40E-01,3.69E+00,-9.75E-01,1.09E-04,
-9.22E-01,3.67E+00,-9.93E-01,1.09E-04,
-9.76E-01,3.69E+00,-9.39E-01,1.13E-04,
-9.93E-01,3.67E+00,-9.22E-01,1.15E-04,
-9.39E-01,3.60E+00,-9.76E-01,1.17E-04,
-9.22E-01,3.61E+00,-9.93E-01,1.16E-04,
-9.74E-01,3.60E+00,-9.41E-01,1.16E-04,
-9.93E-01,3.61E+00,-9.22E-01,1.16E-04,
-9.42E-01,3.65E+00,-9.73E-01,1.12E-04,
-9.22E-01,3.64E+00,-9.93E-01,1.12E-04,
-9.37E-01,3.63E+00,-9.79E-01,1.14E-04,
-9.76E-01,3.63E+00,-9.40E-01,1.16E-04,
-9.93E-01,3.64E+00,-9.22E-01,1.16E-04,
-9.76E-01,3.66E+00,-9.39E-01,1.15E-04,
-9.58E-01,3.38E+00,-9.58E-01,9.75E-05,
-9.58E-01,3.41E+00,-9.58E-01,1.04E-04,
-9.58E-01,3.44E+00,-9.58E-01,1.10E-04,
-9.58E-01,3.47E+00,-9.58E-01,1.14E-04,
-9.58E-01,3.49E+00,-9.58E-01,1.16E-04,
-9.57E-01,3.52E+00,-9.58E-01,1.17E-04,
-9.57E-01,3.56E+00,-9.58E-01,1.18E-04,
-9.57E-01,3.59E+00,-9.58E-01,1.17E-04,
-9.55E-01,3.62E+00,-9.60E-01,1.15E-04,
-9.58E-01,3.88E+00,-9.58E-01,8.33E-05,
-9.58E-01,3.85E+00,-9.58E-01,8.90E-05,
-9.58E-01,3.82E+00,-9.58E-01,9.40E-05,
-9.58E-01,3.79E+00,-9.58E-01,9.86E-05,
-9.58E-01,3.76E+00,-9.58E-01,1.03E-04,
-9.58E-01,3.73E+00,-9.57E-01,1.06E-04,
-9.58E-01,3.70E+00,-9.57E-01,1.09E-04,
-9.59E-01,3.67E+00,-9.56E-01,1.12E-04,
-9.61E-01,3.65E+00,-9.54E-01,1.14E-04,
