Points:0,Points:1,Points:2, Co2.Mass Fraction,
-9.93E-01,5.19E+00,-9.22E-01,4.93E-05,
-9.78E-01,5.17E+00,-9.38E-01,4.84E-05,
-9.93E-01,5.16E+00,-9.22E-01,5.00E-05,
-9.69E-01,5.19E+00,-9.46E-01,4.76E-05,
-9.22E-01,5.19E+00,-9.93E-01,4.43E-05,
-9.38E-01,5.17E+00,-9.78E-01,4.40E-05,
-9.46E-01,5.19E+00,-9.69E-01,4.55E-05,
-9.22E-01,5.16E+00,-9.93E-01,4.26E-05,
-9.40E-01,4.62E+00,-9.75E-01,6.09E-05,
-9.22E-01,4.62E+00,-9.93E-01,6.25E-05,
-9.22E-01,4.59E+00,-9.93E-01,6.28E-05,
-9.46E-01,4.59E+00,-9.69E-01,6.08E-05,
-9.93E-01,4.62E+00,-9.22E-01,5.51E-05,
-9.75E-01,4.62E+00,-9.40E-01,5.69E-05,
-9.93E-01,4.59E+00,-9.22E-01,5.65E-05,
-9.69E-01,4.59E+00,-9.46E-01,5.87E-05,
-9.40E-01,5.15E+00,-9.75E-01,4.25E-05,
-9.22E-01,5.13E+00,-9.93E-01,4.00E-05,
-9.75E-01,5.15E+00,-9.40E-01,4.84E-05,
-9.93E-01,5.13E+00,-9.22E-01,5.08E-05,
-9.75E-01,4.64E+00,-9.40E-01,5.51E-05,
-9.93E-01,4.65E+00,-9.22E-01,5.39E-05,
-9.40E-01,4.64E+00,-9.75E-01,5.90E-05,
-9.22E-01,4.65E+00,-9.93E-01,6.06E-05,
-9.40E-01,5.12E+00,-9.75E-01,4.05E-05,
-9.22E-01,5.10E+00,-9.93E-01,3.77E-05,
-9.75E-01,5.12E+00,-9.40E-01,4.89E-05,
-9.93E-01,5.10E+00,-9.22E-01,5.13E-05,
-9.75E-01,4.67E+00,-9.40E-01,5.27E-05,
-9.93E-01,4.68E+00,-9.22E-01,5.24E-05,
-9.40E-01,4.67E+00,-9.75E-01,5.52E-05,
-9.22E-01,4.68E+00,-9.93E-01,5.64E-05,
-9.58E-01,5.17E+00,-9.58E-01,4.57E-05,
-9.40E-01,5.09E+00,-9.75E-01,3.91E-05,
-9.22E-01,5.07E+00,-9.93E-01,3.58E-05,
-9.75E-01,5.09E+00,-9.40E-01,4.91E-05,
-9.93E-01,5.07E+00,-9.22E-01,5.18E-05,
-9.75E-01,4.70E+00,-9.40E-01,5.05E-05,
-9.93E-01,4.71E+00,-9.22E-01,5.13E-05,
-9.40E-01,4.70E+00,-9.75E-01,5.01E-05,
-9.22E-01,4.71E+00,-9.93E-01,4.93E-05,
-9.40E-01,5.06E+00,-9.75E-01,3.73E-05,
-9.22E-01,5.04E+00,-9.93E-01,3.37E-05,
-9.58E-01,4.61E+00,-9.58E-01,5.92E-05,
-9.75E-01,5.06E+00,-9.40E-01,4.92E-05,
-9.93E-01,5.04E+00,-9.22E-01,5.17E-05,
-9.75E-01,4.73E+00,-9.40E-01,4.86E-05,
-9.93E-01,4.74E+00,-9.22E-01,5.04E-05,
-9.40E-01,4.73E+00,-9.75E-01,4.43E-05,
-9.22E-01,4.74E+00,-9.93E-01,4.17E-05,
-9.40E-01,5.03E+00,-9.75E-01,3.54E-05,
-9.22E-01,5.01E+00,-9.93E-01,3.14E-05,
-9.75E-01,5.03E+00,-9.40E-01,4.84E-05,
-9.93E-01,5.01E+00,-9.22E-01,5.14E-05,
-9.75E-01,4.76E+00,-9.40E-01,4.70E-05,
-9.93E-01,4.77E+00,-9.22E-01,4.99E-05,
-9.40E-01,4.76E+00,-9.75E-01,3.89E-05,
-9.22E-01,4.77E+00,-9.93E-01,3.50E-05,
-9.40E-01,5.00E+00,-9.75E-01,3.32E-05,
-9.22E-01,4.98E+00,-9.93E-01,2.86E-05,
-9.75E-01,5.00E+00,-9.40E-01,4.72E-05,
-9.93E-01,4.98E+00,-9.22E-01,5.10E-05,
-9.75E-01,4.79E+00,-9.40E-01,4.58E-05,
-9.93E-01,4.80E+00,-9.22E-01,4.95E-05,
-9.40E-01,4.79E+00,-9.75E-01,3.41E-05,
-9.22E-01,4.80E+00,-9.93E-01,2.92E-05,
-9.40E-01,4.97E+00,-9.75E-01,3.07E-05,
-9.22E-01,4.95E+00,-9.93E-01,2.59E-05,
-9.75E-01,4.82E+00,-9.40E-01,4.49E-05,
-9.93E-01,4.83E+00,-9.22E-01,4.91E-05,
-9.40E-01,4.82E+00,-9.75E-01,3.08E-05,
-9.22E-01,4.83E+00,-9.93E-01,2.53E-05,
-9.75E-01,4.97E+00,-9.40E-01,4.61E-05,
-9.93E-01,4.95E+00,-9.22E-01,5.05E-05,
-9.40E-01,4.94E+00,-9.75E-01,2.89E-05,
-9.22E-01,4.92E+00,-9.93E-01,2.39E-05,
-9.75E-01,4.94E+00,-9.40E-01,4.53E-05,
-9.93E-01,4.92E+00,-9.22E-01,5.00E-05,
-9.75E-01,4.85E+00,-9.40E-01,4.43E-05,
-9.93E-01,4.86E+00,-9.22E-01,4.90E-05,
-9.40E-01,4.85E+00,-9.75E-01,2.88E-05,
-9.22E-01,4.86E+00,-9.93E-01,2.35E-05,
-9.40E-01,4.88E+00,-9.75E-01,2.77E-05,
-9.22E-01,4.89E+00,-9.93E-01,2.30E-05,
-9.75E-01,4.88E+00,-9.40E-01,4.42E-05,
-9.93E-01,4.89E+00,-9.22E-01,4.94E-05,
-9.40E-01,4.91E+00,-9.75E-01,2.77E-05,
-9.75E-01,4.91E+00,-9.40E-01,4.47E-05,
-9.58E-01,4.63E+00,-9.58E-01,5.77E-05,
-9.58E-01,4.66E+00,-9.58E-01,5.45E-05,
-9.58E-01,4.69E+00,-9.58E-01,5.07E-05,
-9.58E-01,4.72E+00,-9.58E-01,4.71E-05,
-9.58E-01,4.74E+00,-9.58E-01,4.35E-05,
-9.58E-01,4.77E+00,-9.58E-01,4.06E-05,
-9.58E-01,4.80E+00,-9.58E-01,3.82E-05,
-9.58E-01,4.83E+00,-9.58E-01,3.68E-05,
-9.58E-01,4.86E+00,-9.58E-01,3.59E-05,
-9.58E-01,5.13E+00,-9.58E-01,4.49E-05,
-9.58E-01,5.10E+00,-9.58E-01,4.41E-05,
-9.58E-01,5.07E+00,-9.58E-01,4.35E-05,
-9.58E-01,5.04E+00,-9.58E-01,4.25E-05,
-9.58E-01,5.01E+00,-9.58E-01,4.07E-05,
-9.58E-01,4.98E+00,-9.58E-01,3.88E-05,
-9.58E-01,4.95E+00,-9.58E-01,3.74E-05,
-9.58E-01,4.92E+00,-9.58E-01,3.62E-05,
-9.58E-01,4.89E+00,-9.58E-01,3.56E-05,
-9.00E-01,8.88E+00,4.50E-01,3.11E-05,
-9.00E-01,8.90E+00,4.28E-01,2.91E-05,
-9.00E-01,8.88E+00,4.17E-01,2.76E-05,
-9.00E-01,8.91E+00,4.50E-01,3.03E-05,
-9.00E-01,8.91E+00,3.50E-01,1.34E-05,
-9.00E-01,8.88E+00,3.50E-01,1.61E-05,
-9.00E-01,8.90E+00,3.72E-01,1.75E-05,
-9.00E-01,8.88E+00,3.83E-01,2.16E-05,
-9.00E-01,9.45E+00,4.50E-01,9.43E-06,
-9.00E-01,9.48E+00,4.50E-01,9.59E-06,
-9.00E-01,9.46E+00,4.25E-01,9.47E-06,
-9.00E-01,9.48E+00,4.17E-01,9.68E-06,
-9.00E-01,9.46E+00,3.75E-01,9.67E-06,
-9.00E-01,9.48E+00,3.50E-01,9.89E-06,
-9.00E-01,9.45E+00,3.50E-01,9.80E-06,
-9.00E-01,9.48E+00,3.83E-01,9.80E-06,
-9.00E-01,8.93E+00,4.25E-01,2.76E-05,
-9.00E-01,8.94E+00,4.50E-01,2.86E-05,
-9.00E-01,9.44E+00,3.75E-01,9.58E-06,
-9.00E-01,9.42E+00,3.50E-01,9.76E-06,
-9.00E-01,9.44E+00,4.25E-01,9.44E-06,
-9.00E-01,9.42E+00,4.50E-01,9.74E-06,
-9.00E-01,8.93E+00,3.75E-01,1.57E-05,
-9.00E-01,8.94E+00,3.50E-01,1.21E-05,
-9.00E-01,8.96E+00,4.25E-01,2.52E-05,
-9.00E-01,8.97E+00,4.50E-01,2.61E-05,
-9.00E-01,9.41E+00,3.75E-01,9.57E-06,
-9.00E-01,9.39E+00,3.50E-01,9.74E-06,
-9.00E-01,9.41E+00,4.25E-01,9.84E-06,
-9.00E-01,9.39E+00,4.50E-01,1.04E-05,
-9.00E-01,8.96E+00,3.75E-01,1.38E-05,
-9.00E-01,8.97E+00,3.50E-01,1.12E-05,
-9.00E-01,8.91E+00,4.00E-01,2.33E-05,
-9.00E-01,8.99E+00,4.25E-01,2.24E-05,
-9.00E-01,9.00E+00,4.50E-01,2.37E-05,
-9.00E-01,9.38E+00,4.25E-01,1.03E-05,
-9.00E-01,9.36E+00,4.50E-01,1.09E-05,
-9.00E-01,9.38E+00,3.75E-01,9.60E-06,
-9.00E-01,9.36E+00,3.50E-01,9.71E-06,
-9.00E-01,8.99E+00,3.75E-01,1.25E-05,
-9.00E-01,9.00E+00,3.50E-01,1.05E-05,
-9.00E-01,9.47E+00,4.00E-01,9.61E-06,
-9.00E-01,9.02E+00,4.25E-01,2.00E-05,
-9.00E-01,9.03E+00,4.50E-01,2.13E-05,
-9.00E-01,9.35E+00,4.25E-01,1.07E-05,
-9.00E-01,9.33E+00,4.50E-01,1.14E-05,
-9.00E-01,9.35E+00,3.75E-01,9.66E-06,
-9.00E-01,9.33E+00,3.50E-01,9.71E-06,
-9.00E-01,9.02E+00,3.75E-01,1.15E-05,
-9.00E-01,9.03E+00,3.50E-01,1.00E-05,
-9.00E-01,9.05E+00,4.25E-01,1.78E-05,
-9.00E-01,9.06E+00,4.50E-01,1.91E-05,
-9.00E-01,9.32E+00,4.25E-01,1.10E-05,
-9.00E-01,9.30E+00,4.50E-01,1.18E-05,
-9.00E-01,9.32E+00,3.75E-01,9.69E-06,
-9.00E-01,9.30E+00,3.50E-01,9.70E-06,
-9.00E-01,9.05E+00,3.75E-01,1.06E-05,
-9.00E-01,9.06E+00,3.50E-01,9.81E-06,
-9.00E-01,9.08E+00,4.25E-01,1.59E-05,
-9.00E-01,9.09E+00,4.50E-01,1.74E-05,
-9.00E-01,9.29E+00,4.25E-01,1.14E-05,
-9.00E-01,9.27E+00,4.50E-01,1.23E-05,
-9.00E-01,9.08E+00,3.75E-01,1.03E-05,
-9.00E-01,9.09E+00,3.50E-01,9.74E-06,
-9.00E-01,9.29E+00,3.75E-01,9.74E-06,
-9.00E-01,9.27E+00,3.50E-01,9.68E-06,
-9.00E-01,9.11E+00,4.25E-01,1.47E-05,
-9.00E-01,9.12E+00,4.50E-01,1.62E-05,
-9.00E-01,9.26E+00,4.25E-01,1.18E-05,
-9.00E-01,9.24E+00,4.50E-01,1.28E-05,
-9.00E-01,9.11E+00,3.75E-01,1.00E-05,
-9.00E-01,9.12E+00,3.50E-01,9.66E-06,
-9.00E-01,9.26E+00,3.75E-01,9.79E-06,
-9.00E-01,9.24E+00,3.50E-01,9.67E-06,
-9.00E-01,9.14E+00,4.24E-01,1.38E-05,
-9.00E-01,9.15E+00,4.50E-01,1.51E-05,
-9.00E-01,9.23E+00,4.26E-01,1.22E-05,
-9.00E-01,9.21E+00,4.50E-01,1.35E-05,
-9.00E-01,9.14E+00,3.74E-01,9.85E-06,
-9.00E-01,9.15E+00,3.50E-01,9.64E-06,
-9.00E-01,9.23E+00,3.76E-01,9.77E-06,
-9.00E-01,9.21E+00,3.50E-01,9.66E-06,
-9.00E-01,9.17E+00,4.22E-01,1.27E-05,
-9.00E-01,9.18E+00,4.50E-01,1.43E-05,
-9.00E-01,9.20E+00,4.30E-01,1.28E-05,
-9.00E-01,9.17E+00,3.73E-01,9.76E-06,
-9.00E-01,9.18E+00,3.50E-01,9.64E-06,
-9.00E-01,9.20E+00,3.75E-01,9.78E-06,
-9.00E-01,9.45E+00,4.00E-01,9.45E-06,
-9.00E-01,9.42E+00,4.00E-01,9.47E-06,
-9.00E-01,9.39E+00,4.00E-01,9.71E-06,
-9.00E-01,9.36E+00,4.00E-01,9.94E-06,
-9.00E-01,9.33E+00,4.00E-01,1.01E-05,
-9.00E-01,9.30E+00,4.00E-01,1.03E-05,
-9.00E-01,9.27E+00,4.00E-01,1.04E-05,
-9.00E-01,9.24E+00,4.01E-01,1.06E-05,
-9.00E-01,8.94E+00,4.00E-01,2.09E-05,
-9.00E-01,8.97E+00,4.00E-01,1.82E-05,
-9.00E-01,9.00E+00,4.00E-01,1.62E-05,
-9.00E-01,9.03E+00,4.00E-01,1.44E-05,
-9.00E-01,9.06E+00,4.00E-01,1.29E-05,
-9.00E-01,9.09E+00,4.00E-01,1.20E-05,
-9.00E-01,9.12E+00,3.99E-01,1.14E-05,
-9.00E-01,9.15E+00,3.98E-01,1.10E-05,
-9.00E-01,9.21E+00,4.03E-01,1.09E-05,
-9.00E-01,9.18E+00,3.95E-01,1.05E-05,
-9.00E-01,8.91E+00,-4.50E-01,7.98E-05,
-9.00E-01,8.88E+00,-4.50E-01,6.92E-05,
-9.00E-01,8.90E+00,-4.28E-01,7.41E-05,
-9.00E-01,8.88E+00,-4.17E-01,6.70E-05,
-9.00E-01,8.88E+00,-3.83E-01,5.23E-05,
-9.00E-01,8.88E+00,-3.50E-01,3.37E-05,
-9.00E-01,8.90E+00,-3.72E-01,4.30E-05,
-9.00E-01,8.91E+00,-3.50E-01,2.80E-05,
-9.00E-01,9.46E+00,-4.25E-01,8.83E-06,
-9.00E-01,9.48E+00,-4.50E-01,8.87E-06,
-9.00E-01,9.45E+00,-4.50E-01,8.84E-06,
-9.00E-01,9.48E+00,-4.17E-01,8.83E-06,
-9.00E-01,9.48E+00,-3.50E-01,8.82E-06,
-9.00E-01,9.46E+00,-3.75E-01,8.79E-06,
-9.00E-01,9.45E+00,-3.50E-01,8.83E-06,
-9.00E-01,9.48E+00,-3.83E-01,8.80E-06,
-9.00E-01,8.93E+00,-3.75E-01,4.37E-05,
-9.00E-01,8.94E+00,-3.50E-01,2.35E-05,
-9.00E-01,9.44E+00,-4.25E-01,8.79E-06,
-9.00E-01,9.42E+00,-4.50E-01,8.83E-06,
-9.00E-01,9.44E+00,-3.75E-01,8.78E-06,
-9.00E-01,9.42E+00,-3.50E-01,8.84E-06,
-9.00E-01,8.93E+00,-4.25E-01,9.14E-05,
-9.00E-01,8.94E+00,-4.50E-01,1.02E-04,
-9.00E-01,8.96E+00,-3.75E-01,3.53E-05,
-9.00E-01,8.97E+00,-3.50E-01,1.52E-05,
-9.00E-01,9.41E+00,-4.25E-01,8.83E-06,
-9.00E-01,9.39E+00,-4.50E-01,9.02E-06,
-9.00E-01,9.41E+00,-3.75E-01,8.79E-06,
-9.00E-01,9.39E+00,-3.50E-01,8.86E-06,
-9.00E-01,8.96E+00,-4.25E-01,1.13E-04,
-9.00E-01,8.97E+00,-4.50E-01,1.37E-04,
-9.00E-01,8.91E+00,-4.00E-01,6.84E-05,
-9.00E-01,8.99E+00,-3.75E-01,2.49E-05,
-9.00E-01,9.00E+00,-3.50E-01,1.29E-05,
-9.00E-01,9.38E+00,-3.75E-01,8.82E-06,
-9.00E-01,9.36E+00,-3.50E-01,8.88E-06,
-9.00E-01,9.38E+00,-4.25E-01,9.05E-06,
-9.00E-01,9.36E+00,-4.50E-01,9.44E-06,
-9.00E-01,8.99E+00,-4.25E-01,1.27E-04,
-9.00E-01,9.00E+00,-4.50E-01,1.73E-04,
-9.00E-01,9.47E+00,-4.00E-01,8.80E-06,
-9.00E-01,9.02E+00,-3.75E-01,1.80E-05,
-9.00E-01,9.03E+00,-3.50E-01,1.13E-05,
-9.00E-01,9.35E+00,-3.75E-01,8.87E-06,
-9.00E-01,9.33E+00,-3.50E-01,8.91E-06,
-9.00E-01,9.35E+00,-4.25E-01,9.40E-06,
-9.00E-01,9.33E+00,-4.50E-01,1.01E-05,
-9.00E-01,9.02E+00,-4.25E-01,1.25E-04,
-9.00E-01,9.03E+00,-4.50E-01,1.64E-04,
-9.00E-01,9.05E+00,-3.75E-01,1.37E-05,
-9.00E-01,9.06E+00,-3.50E-01,1.02E-05,
-9.00E-01,9.32E+00,-3.75E-01,8.92E-06,
-9.00E-01,9.30E+00,-3.50E-01,8.96E-06,
-9.00E-01,9.32E+00,-4.25E-01,9.83E-06,
-9.00E-01,9.30E+00,-4.50E-01,1.05E-05,
-9.00E-01,9.05E+00,-4.25E-01,9.66E-05,
-9.00E-01,9.06E+00,-4.50E-01,1.18E-04,
-9.00E-01,9.08E+00,-3.75E-01,1.12E-05,
-9.00E-01,9.09E+00,-3.50E-01,9.58E-06,
-9.00E-01,9.29E+00,-3.75E-01,8.99E-06,
-9.00E-01,9.27E+00,-3.50E-01,9.00E-06,
-9.00E-01,9.08E+00,-4.25E-01,5.87E-05,
-9.00E-01,9.09E+00,-4.50E-01,6.51E-05,
-9.00E-01,9.29E+00,-4.25E-01,1.01E-05,
-9.00E-01,9.27E+00,-4.50E-01,1.07E-05,
-9.00E-01,9.11E+00,-3.75E-01,1.00E-05,
-9.00E-01,9.12E+00,-3.50E-01,9.34E-06,
-9.00E-01,9.26E+00,-3.75E-01,9.10E-06,
-9.00E-01,9.24E+00,-3.50E-01,9.06E-06,
-9.00E-01,9.11E+00,-4.25E-01,3.09E-05,
-9.00E-01,9.12E+00,-4.50E-01,3.16E-05,
-9.00E-01,9.26E+00,-4.25E-01,1.02E-05,
-9.00E-01,9.24E+00,-4.50E-01,1.10E-05,
-9.00E-01,9.14E+00,-3.76E-01,9.56E-06,
-9.00E-01,9.15E+00,-3.50E-01,9.22E-06,
-9.00E-01,9.23E+00,-3.74E-01,9.15E-06,
-9.00E-01,9.21E+00,-3.50E-01,9.12E-06,
-9.00E-01,9.14E+00,-4.26E-01,1.76E-05,
-9.00E-01,9.15E+00,-4.50E-01,1.75E-05,
-9.00E-01,9.23E+00,-4.24E-01,1.05E-05,
-9.00E-01,9.21E+00,-4.50E-01,1.14E-05,
-9.00E-01,9.17E+00,-3.78E-01,9.35E-06,
-9.00E-01,9.18E+00,-3.50E-01,9.16E-06,
-9.00E-01,9.20E+00,-3.70E-01,9.17E-06,
-9.00E-01,9.17E+00,-4.27E-01,1.26E-05,
-9.00E-01,9.18E+00,-4.50E-01,1.25E-05,
-9.00E-01,9.20E+00,-4.25E-01,1.10E-05,
-9.00E-01,9.45E+00,-4.00E-01,8.77E-06,
-9.00E-01,9.42E+00,-4.00E-01,8.75E-06,
-9.00E-01,9.39E+00,-4.00E-01,8.81E-06,
-9.00E-01,9.36E+00,-4.00E-01,8.94E-06,
-9.00E-01,9.33E+00,-4.00E-01,9.11E-06,
-9.00E-01,9.30E+00,-4.00E-01,9.28E-06,
-9.00E-01,9.27E+00,-4.00E-01,9.43E-06,
-9.00E-01,9.24E+00,-3.99E-01,9.56E-06,
-9.00E-01,8.94E+00,-4.00E-01,7.84E-05,
-9.00E-01,8.97E+00,-4.00E-01,7.35E-05,
-9.00E-01,9.00E+00,-4.00E-01,5.81E-05,
-9.00E-01,9.03E+00,-4.00E-01,4.17E-05,
-9.00E-01,9.06E+00,-4.00E-01,2.72E-05,
-9.00E-01,9.09E+00,-4.00E-01,1.77E-05,
-9.00E-01,9.12E+00,-4.01E-01,1.32E-05,
-9.00E-01,9.15E+00,-4.02E-01,1.10E-05,
-9.00E-01,9.21E+00,-3.97E-01,9.64E-06,
-9.00E-01,9.18E+00,-4.05E-01,1.03E-05,
